Transaction.Output.ID,Transaction.Output.Address,Transactions.Output.Value
365503,310059,3.65608577922522e-316
365519,1896622,7.85564376887582e-316
365686,2512933,5.39420872129473e-314
366310,3994182,1.7045264781523e-315
366564,1095836,2.47032822920623e-314
367022,5750264,1.97626258336499e-315
367109,2386670,2.17388884170148e-316
367196,451304,1.48219693752374e-317
367311,2401312,1.96786346738568e-314
367411,1882150,5.92878775009496e-317
367472,4846056,2.47032822920623e-317
367665,6025259,1.97626258336499e-317
367751,5118902,2.47032822920623e-317
368068,3600999,4.94065645841247e-318
368396,6253208,1.97626258336499e-314
368566,4855603,9.88131291682493e-318
368723,6238341,1.97626258336499e-317
369059,1903368,2.87546205879605e-315
369209,5304973,9.88131291682493e-318
370230,3415103,4.94065645841247e-318
370287,472075,9.88131291682493e-318
370522,472075,9.88131291682493e-318
370843,3633136,4.94065645841247e-318
370881,3452460,1.32310779956286e-314
370904,3747932,4.94065645841247e-318
371102,2926532,1.30334517372921e-314
372045,3299115,9.80275647913617e-314
372191,5649261,4.94065645841247e-318
372637,2110437,2.59878529712496e-315
373349,224266,1.48713759398215e-315
373950,4219141,2.47032822920623e-316
374479,3979131,5.08887615216484e-316
374511,1190930,2.47032822920623e-317
375482,1202497,1.08694442085074e-316
375507,4857835,1.48219693752374e-317
375572,4357696,4.94065645841247e-318
376261,2177178,2.67289514400114e-315
376469,5051907,9.88131291682493e-317
376543,2179572,1.63041663127611e-316
377832,5660116,4.94065645841247e-318
379045,3407916,5.63234836259021e-316
379624,2910223,4.94065645841247e-316
379895,2944366,1.18575755001899e-316
381860,6480447,6.91691904177745e-317
381867,1626740,2.47032822920623e-317
382318,789789,2.47082229485207e-314
382576,5764874,2.96439387504748e-317
382711,1446632,4.94065645841247e-317
383027,217152,6.4228533959362e-317
383027,3407916,8.39911597930119e-316
383299,3623354,2.47032822920623e-317
383742,3589520,6.02760087926321e-316
384520,4429553,4.94065645841247e-318
384527,2191033,2.92486862338018e-315
385304,546950,2.32210853545386e-316
386265,3104820,2.47131636049792e-314
387854,4655350,4.94065645841247e-318
387925,5476000,5.48412866883784e-315
387965,5107863,1.46243431169009e-315
388942,3796573,4.49056265505109e-314
390043,3787195,1.63041663127611e-314
390081,1038086,2.30531030349526e-314
390278,6341867,4.94065645841247e-316
391022,4663958,5.58294179800609e-316
392748,102664,2.47032822920623e-317
393036,2526698,1.08892068343411e-314
394590,821482,4.77168600753476e-314
395658,5980260,1.48219693752374e-317
396144,1241649,1.39227698998063e-314
396914,451304,3.95252516672997e-317
397309,5234626,2.0938502070752e-314
398398,3828224,4.94065645841247e-318
399268,5448655,4.44659081257122e-316
399635,5092678,8.93270687680974e-315
400116,2069208,4.94065645841247e-318
400635,620566,2.47032822920623e-317
400719,43556,5.38037488321117e-315
400719,2473428,7.06513873552983e-316
401318,3918799,1.67982319586024e-316
401543,262438,4.94065645841247e-318
401805,1945957,5.92878775009496e-317
402488,5917509,3.3819781589125e-314
402773,1098850,2.47082229485207e-314
403059,529206,2.22329540628561e-313
403148,5134980,2.96439387504748e-314
404737,3305689,9.88131291682493e-316
404783,6153607,4.44659081257122e-317
405148,2260458,4.64421707090772e-316
405580,6133181,2.47032822920623e-314
405679,3485723,9.38724727098368e-317
405974,2323475,6.4228533959362e-317
406356,2442191,3.85371203756172e-316
406782,4790474,8.20148972096469e-316
407298,2501097,1.65511991356818e-315
407471,2892601,5.08887615216484e-316
407883,5361129,7.85564376887582e-316
409507,1645397,2.47032822920623e-317
409596,3251576,2.47032822920623e-317
409619,2889160,2.47032822920623e-317
409647,3910502,2.47032822920623e-317
411941,3665686,6.29933698447589e-315
412860,5319875,3.70549234380935e-316
412893,297336,1.25443267479092e-314
412895,6143320,2.47032822920623e-313
412944,3991700,5.28650241050134e-316
412949,496945,1.98663796192765e-314
413035,2323574,1.30186297679168e-314
413220,1227252,1.33397724377137e-316
413675,3587085,3.2114266979681e-316
413757,4081288,1.57310501635853e-314
414801,4033253,9.88131291682493e-318
414857,6068249,1.06322926985036e-314
414974,5185821,1.50195956335739e-315
415528,5489493,4.94065645841247e-318
415586,5028904,7.4109846876187e-315
415736,2473428,8.79436849597419e-316
415901,2487469,2.47032822920623e-314
416185,2395696,2.56914135837448e-316
416218,419313,2.47032822920623e-314
416362,3237296,4.94065645841247e-317
416855,4315512,1.97626258336499e-316
417703,3179807,4.94065645841247e-318
418045,6000621,5.43472210425371e-317
418568,1868145,5.03946958758071e-316
419015,5479663,2.47032822920623e-317
420215,1185614,1.97626258336499e-317
420778,2531671,9.55572365621555e-314
421434,133164,2.44562494691417e-314
421560,5813966,1.44153533487101e-313
421828,5898456,2.41696913945538e-314
421945,173389,6.51178521218763e-315
423005,1350620,4.94065645841247e-318
424012,1807328,9.84870458419941e-314
424997,5116255,1.18575755001899e-316
425077,5386927,2.47032822920623e-317
425250,4831256,1.66450716083916e-314
425689,3993669,4.1995579896506e-316
426175,2245762,1.23516411460312e-316
427822,3590876,7.57303821945463e-314
429176,3004814,1.72922976044436e-316
429265,2067942,9.88131291682493e-318
430075,6472938,2.47032822920623e-314
430358,5600606,2.47032822920623e-317
430918,3078237,1.69365703394379e-314
431385,1287217,6.91691904177745e-317
432567,5242848,1.58101006669199e-316
432642,827041,1.39030072739727e-314
433223,5840311,4.44659081257122e-317
433224,6090853,2.07507571253324e-316
433406,4126077,9.88131291682493e-318
433837,5825718,2.47032822920623e-317
434143,2543799,2.76676761671098e-316
434693,2624180,9.88131291682493e-317
434786,986215,2.47032822920623e-317
435216,3014729,4.94065645841247e-318
435285,2976598,2.42190979591379e-314
435473,3063351,5.41051288760749e-314
436757,5494947,2.47032822920623e-317
437372,1653486,2.08495702545006e-315
437820,4930551,3.35470573526206e-315
438414,4669654,4.94065645841247e-318
438708,2346576,9.88131291682493e-317
438805,1835237,1.82804288961261e-316
439100,741016,7.90505033345994e-317
439414,4895096,1.48219693752374e-316
439699,2132741,1.97626258336499e-317
439712,5186199,1.51579340144094e-314
439848,1129413,1.97626258336499e-317
439848,4266714,5.28156175404293e-315
440051,6377892,1.72033657881922e-314
440134,2528755,4.94065645841247e-316
440248,6024971,5.92878775009496e-317
440512,3191309,1.23516411460312e-314
441127,4836484,3.26083326255223e-316
441216,3518332,1.50541802287828e-314
441464,4063663,4.94065645841247e-317
441503,503752,1.48219693752374e-317
441520,782447,1.98021510853172e-314
441667,503752,1.48219693752374e-317
442256,4983351,2.83593680712876e-315
442441,2755281,4.94065645841247e-317
444394,1677247,4.94065645841247e-316
445309,4336992,2.59878529712496e-315
446167,4126077,4.94065645841247e-318
446884,6051009,1.95798215446886e-314
447142,1436768,1.48219693752374e-317
448912,5211561,1.31421461793772e-315
449366,3205488,1.97626258336499e-314
449402,6169420,7.26276499386632e-315
449720,1421617,9.22234634001764e-316
449814,2310735,9.88131291682493e-318
450188,3179208,3.95252516672997e-316
450198,6152560,3.95252516672997e-317
450700,6359653,1.30285110808337e-314
450885,698367,1.4817028718779e-317
451384,3182607,2.47032822920623e-317
451650,560759,6.52858344414623e-314
451813,2057624,2.47032822920623e-315
452166,6027486,5.53353523342196e-316
453132,1951238,8.89318162514244e-317
453648,289033,1.13635098543487e-316
454004,5771581,3.45845952088873e-317
454036,4834580,6.91691904177745e-317
454586,3985346,2.96439387504748e-317
455625,730305,9.88131291682493e-318
456378,4242193,4.94065645841247e-317
457508,2883286,2.36163378712116e-315
457660,2246275,4.94065645841247e-318
459424,3970884,4.94065645841247e-316
459715,4654349,1.97626258336499e-317
459955,2811360,4.89124989382834e-316
460022,280176,4.94065645841247e-318
460694,6097384,1.13635098543487e-316
461386,6238980,2.47032822920623e-314
462387,4533789,1.71588998800665e-314
463111,2406626,9.93071948140906e-314
463588,5337070,8.79436849597419e-316
463990,61676,2.47032822920623e-317
464317,5879456,1.14178570753912e-314
464965,2056518,2.66795448754273e-315
465267,5341173,9.88131291682493e-318
465780,2818833,4.1995579896506e-316
466061,3575893,1.96499788663981e-313
467321,1315485,8.97717278493545e-315
467553,4649372,2.32210853545386e-316
467982,2592837,1.58792698573377e-314
468244,5381274,4.94065645841247e-316
468312,3429238,4.94065645841247e-318
468549,5312406,1.18575755001899e-316
468840,588633,3.5528260592444e-314
469045,4256030,1.54148481502469e-315
469068,6458382,5.43472210425371e-317
469426,1928446,3.45845952088873e-317
469442,5446532,1.77863632502849e-316
469741,3033241,9.88131291682493e-318
470592,2464493,8.74496193139006e-316
470772,5067022,5.49400998175466e-315
471161,3794349,2.85866382683745e-314
471373,2492848,4.99006302299659e-316
473436,4299901,1.8769553885509e-314
473906,5763309,9.88131291682493e-318
474348,459129,2.27023164264053e-314
474713,3196411,2.4747748200188e-314
475248,1436768,9.88131291682493e-318
476552,2145276,1.33397724377137e-315
477187,1491008,6.47225996052033e-316
477527,3239455,9.88131291682493e-317
478020,1031395,5.04935090049754e-315
478475,1436702,2.42722903313772e-314
479828,3629247,4.94065645841247e-318
480745,2018471,2.21440222466047e-314
480948,4875333,4.44659081257122e-316
480958,4225708,3.27757418289591e-317
480958,4650938,6.273904411884e-316
482092,2761765,1.07706310793392e-315
482296,4164070,4.94891812532909e-316
482305,575716,1.72922976044436e-316
482558,3489437,8.05327002721232e-316
482632,821465,2.47032822920623e-314
483533,647663,1.28457067918724e-316
483657,1261324,1.15561954562268e-314
483883,1882554,9.24495636498141e-314
484382,707306,1.1175764908929e-314
484468,6450266,4.94065645841247e-318
484538,3575934,1.32103272385033e-313
484594,4759195,1.97626258336499e-316
484769,1288967,2.56914135837448e-316
485707,6152560,2.59707780625293e-317
486166,2443379,1.9026537417807e-314
486743,2233071,1.91203404940562e-315
486933,46031,9.88131291682493e-318
487503,4297680,1.67454262223749e-317
487565,4895096,1.48219693752374e-316
487792,6165387,1.89342274474648e-316
488036,222591,8.89318162514244e-317
488341,5939427,4.99006302299659e-316
489055,3074209,2.47032822920623e-315
489578,584138,1.64919112581808e-314
489613,5363807,4.97524105362135e-315
490688,5199145,5.17286731195785e-315
491461,2838581,6.76869934802508e-316
493493,4384088,2.10274338870035e-314
493829,3368049,3.63138249693316e-315
493931,3686617,7.31217155845045e-315
494107,4408686,1.67982319586024e-316
494116,1378741,9.88131291682493e-318
494217,731043,8.62638617638816e-315
494558,1220660,5.86159482226055e-314
494919,107431,1.48219693752374e-315
